timestamp,amount,sender_balance,balance_ratio,is_new_receiver,risk,risk_score,model_accuracy
2026-04-12 05:08:33,1000.0,10000.0,0.1,0,Low Risk,0,1.0
2026-04-12 05:08:22,2000.0,12000.0,0.17,0,Low Risk,0,1.0
2026-04-12 05:04:12,2000.0,10000.0,0.2,0,Low Risk,0,1.0
2026-04-12 05:00:15,1000.0,11000.0,0.09,0,Low Risk,0,1.0
2026-04-12 04:59:40,1000.0,10000.0,0.1,0,Low Risk,0,1.0
2026-04-12 04:57:30,10000.0,10000.0,1.0,0,High Risk,100,1.0
2026-04-12 04:57:22,9000.0,10000.0,0.9,0,High Risk,91,1.0
2026-04-12 04:57:15,7000.0,10000.0,0.7,0,Medium Risk,39,1.0
2026-04-12 04:57:08,8000.0,10000.0,0.8,0,High Risk,65,1.0
2026-04-12 04:57:03,7000.0,10000.0,0.7,0,Medium Risk,39,1.0
2026-04-12 04:56:57,6000.0,10000.0,0.6,0,Low Risk,0,1.0
2026-04-12 04:56:45,10000.0,10000.0,1.0,0,High Risk,100,1.0
2026-04-12 04:51:34,10000.0,10000.0,1.0,0,High Risk,100,1.0
2026-04-12 04:51:26,8000.0,10000.0,0.8,0,High Risk,65,1.0
2026-04-12 04:51:16,6000.0,10000.0,0.6,0,Low Risk,0,1.0
2026-04-12 04:34:27,8000.0,18000.0,0.44,0,Low Risk,0,1.0
2026-04-12 04:32:03,8000.0,10000.0,0.8,0,High Risk,65,1.0
2026-04-12 04:26:08,8000.0,10000.0,0.8,0,High Risk,65,1.0
2026-04-12 03:08:56,6000.0,10000.0,0.6,0,Low Risk,0,1.0
2026-04-12 03:08:16,7156.0,17156.0,0.42,0,Low Risk,0,1.0
2026-04-12 03:01:18,6442.0,9286.0,0.69,0,Low Risk,2,1.0
2026-04-12 03:01:16,6442.0,15728.0,0.41,0,Low Risk,0,1.0
2026-04-12 03:01:15,644.0,16372.0,0.04,0,Low Risk,0,1.0
2026-04-12 03:01:15,64.0,16436.0,0.0,0,Low Risk,0,1.0
2026-04-12 03:01:15,6.0,16442.0,0.0,0,Low Risk,0,1.0
2026-04-12 02:59:28,1000.0,4558.0,0.22,0,Low Risk,0,1.0
2026-04-12 02:59:24,1000.0,5558.0,0.18,0,Low Risk,0,1.0
2026-04-12 02:59:24,100.0,5658.0,0.02,0,Low Risk,0,1.0
2026-04-12 02:59:24,10.0,5668.0,0.0,0,Low Risk,0,1.0
2026-04-12 02:59:24,1.0,5669.0,0.0,0,Low Risk,0,1.0
2026-04-12 02:39:51,1000.0,15331.0,0.07,0,Low Risk,0,1.0
2026-04-12 02:39:47,1000.0,16331.0,0.06,0,Low Risk,0,1.0
2026-04-12 02:39:47,100.0,16431.0,0.01,0,Low Risk,0,1.0
2026-04-12 02:39:47,10.0,16441.0,0.0,0,Low Risk,0,1.0
2026-04-12 02:39:47,1.0,16442.0,0.0,0,Low Risk,0,1.0
2026-04-12 02:37:42,1000.0,4558.0,0.22,0,Low Risk,0,1.0
2026-04-12 02:37:40,1000.0,5558.0,0.18,0,Low Risk,0,1.0
2026-04-12 02:37:39,100.0,5658.0,0.02,0,Low Risk,0,1.0
2026-04-12 02:37:39,10.0,5668.0,0.0,0,Low Risk,0,1.0
2026-04-12 02:37:39,1.0,5669.0,0.0,0,Low Risk,0,1.0
2026-04-12 02:21:35,1.0,5670.0,0.0,0,Low Risk,0,1.0
2026-04-12 02:21:05,9.0,5679.0,0.0,0,Low Risk,0,1.0
2026-04-12 02:21:05,90.0,5769.0,0.02,0,Low Risk,0,1.0
2026-04-12 02:21:05,900.0,6669.0,0.13,0,Low Risk,0,1.0
2026-04-12 02:21:04,900.0,7569.0,0.12,0,Low Risk,0,1.0
2026-04-12 02:21:04,90.0,7659.0,0.01,0,Low Risk,0,1.0
2026-04-12 02:21:03,9.0,7668.0,0.0,0,Low Risk,0,1.0
2026-04-12 02:21:02,5.0,7673.0,0.0,0,Low Risk,0,1.0
2026-04-12 02:21:02,50.0,7723.0,0.01,0,Low Risk,0,1.0
2026-04-12 02:21:02,500.0,8223.0,0.06,0,Low Risk,0,1.0
2026-04-12 02:21:02,5000.0,8223.0,0.61,0,Low Risk,0,1.0
2026-04-12 02:21:00,5000.0,8223.0,0.61,0,Low Risk,0,1.0
2026-04-12 02:21:00,500.0,8723.0,0.06,0,Low Risk,0,1.0
2026-04-12 02:21:00,50.0,8773.0,0.01,0,Low Risk,0,1.0
2026-04-12 02:21:00,5.0,8778.0,0.0,0,Low Risk,0,1.0
2026-04-12 02:20:59,1.0,8779.0,0.0,0,Low Risk,0,1.0
2026-04-12 02:20:59,10.0,8789.0,0.0,0,Low Risk,0,1.0
2026-04-12 02:20:59,100.0,8889.0,0.01,0,Low Risk,0,1.0
2026-04-12 02:20:56,1000.0,9889.0,0.1,0,Low Risk,0,1.0
2026-04-12 02:20:56,10.0,10000.0,0.0,0,Low Risk,0,1.0
2026-04-04 03:14:06,1000.0,11000.0,0.09,0,Low Risk,0,1.0
2026-04-04 03:10:31,7000.0,9000.0,0.78,0,High Risk,63,1.0
2026-04-04 03:07:50,1000.0,10000.0,0.1,0,Low Risk,0,1.0
2026-04-04 02:55:50,1000.0,11000.0,0.09,0,Low Risk,0,1.0
2026-04-04 02:49:53,7000.0,9000.0,0.78,0,High Risk,63,1.0
2026-04-04 02:47:58,1000.0,10000.0,0.1,0,Low Risk,0,1.0
2026-03-24 01:03:35,7500.0,17500.0,0.43,0,Low Risk,0,1.0
2026-03-24 01:03:15,7500.0,10000.0,0.75,0,High Risk,62,1.0
2026-03-24 01:03:02,10000.0,10000.0,1.0,0,High Risk,100,1.0
2026-03-24 01:02:50,7500.0,10000.0,0.75,0,High Risk,62,1.0
2026-03-24 01:02:32,7000.0,10000.0,0.7,0,Medium Risk,40,1.0
2026-03-24 01:02:05,2000.0,12000.0,0.17,0,Low Risk,0,1.0
2026-03-24 01:01:37,2000.0,10000.0,0.2,0,Low Risk,0,1.0
2026-03-24 00:33:52,7500.0,17500.0,0.43,0,Low Risk,0,1.0
2026-03-24 00:33:32,7500.0,10000.0,0.75,0,High Risk,63,1.0
